repo,dependencyFile,url,http://org.softlang.com/Folder,http://org.softlang.com/File,http://org.softlang.com/groupId,http://org.softlang.com/artifactId,http://org.softlang.com/relativePath,http://org.softlang.com/Pom,http://org.softlang.com/MavenDependency,http://org.softlang.com/Property,http://org.softlang.com/ParentBlock,http://org.softlang.com/ParentPom,http://org.softlang.com/resolvable
NLPchina/elasticsearch-sql,https://github.com/NLPchina/elasticsearch-sql,https://github.com/NLPchina/elasticsearch-sql/blob/4bdd75478c65fbfa7c83d01e97fad9597c86e851/pom.xml,167,609,15,15,NaN,1,15,5,NaN,NaN,50
Activiti/Activiti,https://github.com/Activiti/Activiti,https://github.com/Activiti/Activiti/blob/cd3115fcdd2ea47864bd8f516b7afbf6bacbcad1/activiti-image-generator/pom.xml,599,3743,218,218,NaN,15,204,5,14,1,470
joelittlejohn/jsonschema2pojo,https://github.com/joelittlejohn/jsonschema2pojo,https://github.com/joelittlejohn/jsonschema2pojo/blob/03339bf7868f5fc67fc121403f92c427db8eafb1/jsonschema2pojo-ant/pom.xml,223,618,106,106,NaN,10,98,15,8,1,279
google/error-prone,https://github.com/google/error-prone,https://github.com/google/error-prone/blob/fc16cc53b8a05cc410f1cea1fcdd98a3fcb9e614/examples/plugin/maven/hello/pom.xml,249,2039,114,114,NaN,14,102,9,12,2,339
Vedenin/useful-java-links,https://github.com/Vedenin/useful-java-links,https://github.com/Vedenin/useful-java-links/blob/3eb7f14a2ecae29d4762f3fd999bf05a98aded05/helloworlds/1.1-common-frameworks-and-lib/apache-commons-lib/pom.xml,199,255,113,113,NaN,53,111,20,2,2,357
checkstyle/checkstyle,https://github.com/checkstyle/checkstyle,https://github.com/checkstyle/checkstyle/blob/51ca8e3d82f854ee85ddd1ac127473b7203f99ca/pom.xml,561,2508,27,27,NaN,1,26,21,1,NaN,101
roboguice/roboguice,https://github.com/roboguice/roboguice,https://github.com/roboguice/roboguice/blob/d96250c41149e13a159d26a532365c3f7034c07e/additional-tests/pom.xml,346,1170,106,106,NaN,22,84,35,22,3,298
jwtk/jjwt,https://github.com/jwtk/jjwt,https://github.com/jwtk/jjwt/blob/57ff5139f5149b4ad443356570f97a68f01dbfd9/api/pom.xml,61,198,31,31,5,6,25,24,6,1,108
apache/zeppelin,https://github.com/apache/zeppelin,https://github.com/apache/zeppelin/blob/adf83a3f5d009efd0e0416a7bf1d8b6fd86ea58a/spark/scala-2.10/pom.xml,1090,1759,591,591,65,66,525,307,66,6,1971
JodaOrg/joda-time,https://github.com/JodaOrg/joda-time,https://github.com/JodaOrg/joda-time/blob/d1ea2a53929d7d56d4f4560852e5586517a0dd47/pom.xml,41,478,3,3,NaN,1,3,40,NaN,NaN,49
Angel-ML/angel,https://github.com/Angel-ML/angel,https://github.com/Angel-ML/angel/blob/529fbcb4bf3e4ed06fd1b82861e1bbb8edb659b5/angel-ps/examples/pom.xml,430,1639,91,91,8,13,79,35,12,3,304
Alluxio/alluxio,https://github.com/Alluxio/alluxio,https://github.com/Alluxio/alluxio/blob/940f9f9a8022f7b4249af0d9b0f1ad8d08294202/assembly/client/pom.xml,818,2697,463,463,NaN,44,419,90,44,9,1255
alibaba/otter,https://github.com/alibaba/otter,https://github.com/alibaba/otter/blob/b84d9d986db72f6b7bb57e9f763dc95e79c04aea/manager/web/pom.xml,549,1217,203,203,13,17,186,10,17,4,511
orientechnologies/orientdb,https://github.com/orientechnologies/orientdb,https://github.com/orientechnologies/orientdb/blob/47a44a54f858982273b74636cb02bbbf3f67c0b3/javassist/pom.xml,802,4087,150,150,13,17,134,82,16,1,529
liyifeng1994/ssm,https://github.com/liyifeng1994/ssm,https://github.com/liyifeng1994/ssm/blob/f3f90d79e50410c2f661ff309dd022322bdbc7cf/pom.xml,33,68,22,22,NaN,1,22,NaN,NaN,NaN,66
lihengming/spring-boot-api-project-seed,https://github.com/lihengming/spring-boot-api-project-seed,https://github.com/lihengming/spring-boot-api-project-seed/blob/0980dd90d0fc4205fcdadc939d47aa46bfa93fcd/pom.xml,18,25,22,22,NaN,1,22,NaN,NaN,NaN,66
