repo,dependencyFile,url,http://org.softlang.com/Folder,http://org.softlang.com/File,http://org.softlang.com/groupId,http://org.softlang.com/artifactId,http://org.softlang.com/relativePath,http://org.softlang.com/Pom,http://org.softlang.com/MavenDependency,http://org.softlang.com/Property,http://org.softlang.com/ParentBlock,http://org.softlang.com/ParentPom,http://org.softlang.com/resolvable,http://org.softlang.com/Module
javaee-samples/javaee7-samples,https://github.com/javaee-samples/javaee7-samples,https://github.com/javaee-samples/javaee7-samples/blob/18700e8910fb83e4d100bb2d1f706d2340ea7b8e/batch/pom.xml,3410,1834,446,446,172,251,197,33,249,25,1520,244
abel533/MyBatis-Spring-Boot,https://github.com/abel533/MyBatis-Spring-Boot,https://github.com/abel533/MyBatis-Spring-Boot/blob/e099ad1ca82b287652da033d58ac52c1bb3c2cd3/pom.xml,28,36,21,21,NaN,1,20,4,1,NaN,53,NaN
bigbluebutton/bigbluebutton,https://github.com/bigbluebutton/bigbluebutton,https://github.com/bigbluebutton/bigbluebutton/blob/7dfe3f3093974bb1af0891c626ded9de60689385/bbb-api-demo/pom.xml,1700,5671,2,2,NaN,2,1,NaN,1,NaN,6,1
chanjarster/weixin-java-tools,https://github.com/chanjarster/weixin-java-tools,https://github.com/chanjarster/weixin-java-tools/blob/2a0b1c30c0f60c2de466cb8933c945bc0d391edf/pom.xml,86,268,37,37,NaN,4,34,6,3,1,114,3
mpusher/mpush,https://github.com/mpusher/mpush,https://github.com/mpusher/mpush/blob/f8d5c97f30b2bde12f1b60d11709ae1b75587a2e/mpush-api/pom.xml,198,372,67,67,11,12,56,6,11,1,167,3
ata4/disunity,https://github.com/ata4/disunity,https://github.com/ata4/disunity/blob/6c1c3215419faaca427fa8d1e960f13cde76e766/disunity-cli/pom.xml,56,152,15,15,NaN,4,12,9,3,1,54,3
google/google-java-format,https://github.com/google/google-java-format,https://github.com/google/google-java-format/blob/4fa9d4967170109b1f8b238c12bb42ee9d26ba88/core/pom.xml,44,422,17,17,NaN,3,15,4,2,NaN,49,3
apache/camel,https://github.com/apache/camel,https://github.com/apache/camel/blob/d0e04616cebee03ecdd5ed5333ed57a93237b62c/archetypes/camel-archetype-web/src/main/resources/archetype-resources/pom.xml,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
apache/hive,https://github.com/apache/hive,https://github.com/apache/hive/blob/f37c5de6c32b9395d1b34fa3c02ed06d1bfbf6eb/hbase-handler/pom.xml,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ffay/lanproxy,https://github.com/ffay/lanproxy,https://github.com/ffay/lanproxy/blob/945d2f821cfdb048f21a9fac4ba16f7f4baa2d23/pom.xml,86,205,13,13,NaN,5,9,3,4,1,42,4
