repository,maven,stargazers_count,forks_count,watchers_count,size,default_branch,language,created_at,updated_at,pushed_at,sha,sha_data,components,duplicates,time,state,Folder,File,Manifest,Pom,Gradle,Ant,uniform_build
iluwatar/java-design-patterns,30,36318,11739,36318,17732,master,Java,2014-08-09T16:45:18Z,2018-07-26T22:09:10Z,2018-07-18T09:15:14Z,d915b66e70bf8ba7ad07daf8fcc3d9972b8cf435,2018-07-08T06:55:36Z,0,0,2533,done,1723,1613,0.0,1.0,0.0,0.0,True
ityouknow/spring-boot-examples,27,5029,2902,5029,897,master,Java,2016-11-05T05:32:33Z,2018-07-26T16:56:36Z,2018-06-19T03:20:24Z,19b4668abd690ce39678ca74f7edfffa8a993aab,2018-06-19T03:20:05Z,0,0,1006,done,381,279,0.0,1.0,0.0,0.0,True
java-native-access/jna,4,4079,1020,4079,329329,master,Java,2011-04-29T13:30:29Z,2018-07-25T23:18:44Z,2018-07-22T09:16:29Z,c7419aff496080278f9d0ff066eeda377cca43ae,2018-07-22T09:16:29Z,0,0,1807,done,185,1113,0.0,1.0,0.0,1.0,False
jenkinsci/jenkins,5,10724,4629,10724,108471,master,Java,2010-11-22T21:21:23Z,2018-07-26T22:54:02Z,2018-07-26T13:50:28Z,e7b1a1217e56b59fa76c1f88d6a93f8a13f2adcf,2018-07-25T15:28:53Z,0,0,14645,done,935,11905,0.0,1.0,0.0,0.0,True
jfeinstein10/SlidingMenu,3,11053,5492,11053,32085,master,Java,2012-06-30T05:14:23Z,2018-07-26T21:03:52Z,2017-03-31T02:15:51Z,4254feca3ece9397cd501921ee733f19ea0fdad8,2014-03-09T21:30:35Z,0,0,945,done,52,137,0.0,1.0,1.0,0.0,False
jhy/jsoup,1,6192,1514,6192,2850,master,Java,2009-12-19T01:29:58Z,2018-07-26T19:17:03Z,2018-07-24T10:21:05Z,220b77140bce70dcf9c767f8f04758b09097db14,2018-05-12T05:47:22Z,0,0,846,done,29,146,0.0,1.0,0.0,0.0,True
joelittlejohn/jsonschema2pojo,10,3922,1108,3922,9131,master,Java,2013-06-22T22:28:53Z,2018-07-26T18:15:46Z,2018-07-18T15:19:13Z,d7ead7b097f9b26082b21e655103a1159f820b8f,2018-07-18T15:19:13Z,0,0,1056,done,223,610,0.0,1.0,1.0,1.0,False
johncarl81/parceler,8,3333,253,3333,1540,master,Java,2013-07-03T02:53:01Z,2018-07-26T15:32:18Z,2018-07-20T16:35:41Z,4058607bd00bd94c4f6dc45c2115154a5e059381,2018-07-20T16:35:33Z,0,0,677,done,85,220,0.0,1.0,1.0,0.0,False
junit-team/junit4,1,6978,2685,6978,22661,master,Java,2009-01-13T03:41:26Z,2018-07-26T18:12:59Z,2018-07-16T07:13:02Z,64eb7302653c1263767eee550e5b53d9af66ba0d,2018-07-15T12:23:58Z,0,0,916,done,114,546,0.0,1.0,0.0,0.0,True
jwtk/jjwt,1,3458,562,3458,706,master,Java,2014-09-13T01:06:24Z,2018-07-26T15:27:23Z,2018-07-25T17:00:18Z,45f83d0cb1571e98e078b6f97cbedbd846fba154,2018-07-25T17:00:11Z,0,0,858,done,61,190,0.0,1.0,0.0,0.0,True
lecho/hellocharts-android,1,5989,1546,5989,6126,master,Java,2014-10-12T09:12:37Z,2018-07-26T15:50:43Z,2018-07-09T08:49:09Z,c41419c9afa097452dee823c7eba0e5136aa96bd,2018-03-18T20:35:52Z,0,0,890,done,49,198,0.0,1.0,1.0,0.0,False
