address,current,old,sample,id,repository_type
alexmorel/org.eclipse.sirius.econfrance2013,True,True,False,alexmorel/org.eclipse.sirius.econfrance2013,git
alma2012/fr.alma.application,True,True,False,alma2012/fr.alma.application,git
alogean/draftpapers,True,True,False,alogean/draftpapers,git
ampie/pavanecce,True,True,False,ampie/pavanecce,git
andrearn/org.fornax.soa.xtextservicerepository,True,True,False,andrearn/org.fornax.soa.xtextservicerepository,git
andymcr/webgen,True,True,False,andymcr/webgen,git
annecaroline/guided-inspection-tool,True,True,False,annecaroline/guided-inspection-tool,git
antoniogarmendia/EMF-Splitter,True,True,False,antoniogarmendia/EMF-Splitter,git
antoshka412/peterfriese,True,True,False,antoshka412/peterfriese,git
apolit/creomobile,True,True,False,apolit/creomobile,git
arapost/acedit,True,True,False,arapost/acedit,git
arcanefoam/fixml,True,True,False,arcanefoam/fixml,git
arcanefoam/qvtMustus,True,True,False,arcanefoam/qvtMustus,git
arnobl/Malai,True,True,False,arnobl/Malai,git
arnobl/kompren,True,True,False,arnobl/kompren,git
arsenij-solovjev/sonar-modelbus-plugin,True,True,False,arsenij-solovjev/sonar-modelbus-plugin,git
artist-project/ARTIST,True,True,False,artist-project/ARTIST,git
arunkumar-ramaswamy/SafeRobots,True,True,False,arunkumar-ramaswamy/SafeRobots,git
asenac/e4c,True,True,False,asenac/e4c,git
asimonov-im/wesnoth,True,True,False,asimonov-im/wesnoth,git
atlanmod/ATL_MR,True,True,False,atlanmod/ATL_MR,git
atlanmod/EMFtoCSP,False,True,False,atlanmod/EMFtoCSP,git
atlanmod/Mogwai,True,True,False,atlanmod/Mogwai,git
atlanmod/emfviews,True,True,False,atlanmod/emfviews,git
atlanmod/emfviewsSQL,True,True,False,atlanmod/emfviewsSQL,git
atlanmod/json-discoverer,False,True,False,atlanmod/json-discoverer,git
atlanmod/mondo-atlzoo-benchmark,True,True,False,atlanmod/mondo-atlzoo-benchmark,git
atlanmod/mondo-itmfactory-benchmark,True,True,False,atlanmod/mondo-itmfactory-benchmark,git
atlanmod/monoge,True,True,True,atlanmod/monoge,git
atlanmod/org.eclipse.atl.atlMR,True,True,False,atlanmod/org.eclipse.atl.atlMR,git
atlanmod/ossmigration,True,True,False,atlanmod/ossmigration,git
atlanmod/web-application-security,False,True,False,atlanmod/web-application-security,git
aurora-java/aurora-ide,True,True,False,aurora-java/aurora-ide,git
avaranovich/megal-xtext,True,True,False,avaranovich/megal-xtext,git
awk-kazmin/eclipse_1C_xtext,True,True,False,awk-kazmin/eclipse_1C_xtext,git
awltech/org.parallelj.studio,True,True,False,awltech/org.parallelj.studio,git
axbannaz/DDS,True,True,False,axbannaz/DDS,git
b-studios/henshin,True,True,False,b-studios/henshin,git
bakaranger/mbse,True,True,False,bakaranger/mbse,git
balazsgrill/junk,True,True,False,balazsgrill/junk,git
balazsgrill/modembed,True,True,False,balazsgrill/modembed,git
balazsgrill/temon,True,True,False,balazsgrill/temon,git
battle-for-wesnoth/svn,True,True,False,battle-for-wesnoth/svn,git
benahm/StrutsGenerator,True,True,False,benahm/StrutsGenerator,git
berndv/org.sourcepit.java,True,True,False,berndv/org.sourcepit.java,git
bettsmatt/roller-coaster-dsl,True,True,False,bettsmatt/roller-coaster-dsl,git
bhdrkn/Xtext-Examples,True,True,False,bhdrkn/Xtext-Examples,git
bks-foss/DataModeler,True,True,False,bks-foss/DataModeler,git
blackdogit/connectiq-monkeyc,True,True,False,blackdogit/connectiq-monkeyc,git
blastgwen/dsl-browser-automatisation,True,True,False,blastgwen/dsl-browser-automatisation,git
bloodzio/Piaskownica-Java,False,True,False,bloodzio/Piaskownica-Java,git
bluedolmen/SIDE,True,True,False,bluedolmen/SIDE,git
bluezio/simplified-bpmn-example,True,True,False,bluezio/simplified-bpmn-example,git
bme-mdsd-raptor/DFNModeler-2014,True,True,False,bme-mdsd-raptor/DFNModeler-2014,git
bnastov/Diagraph,True,True,False,bnastov/Diagraph,git
bonitasoft/bonita-studio,True,True,False,bonitasoft/bonita-studio,git
borisbrodski/XtextBug453268,True,True,False,borisbrodski/XtextBug453268,git
boundlessgeo/geotools-2.7.x,True,True,False,boundlessgeo/geotools-2.7.x,git
breka/tutorial,True,True,False,breka/tutorial,git
cadorca/rdb-designer,True,True,False,cadorca/rdb-designer,git
carpe-noctem-cassel/alica-plan-designer,True,True,False,carpe-noctem-cassel/alica-plan-designer,git
carrot-garden/eclipse_org.eclipse.e4.scripting,True,True,False,carrot-garden/eclipse_org.eclipse.e4.scripting,git
catbox/kernel,True,True,False,catbox/kernel,git
catedrasaes-umu/emf4cpp,True,True,False,catedrasaes-umu/emf4cpp,git
catedrasaes-umu/emf4cpp-old,True,True,False,catedrasaes-umu/emf4cpp-old,git
catedrasaes-umu/idl4emf,True,True,False,catedrasaes-umu/idl4emf,git
cbrun/emf-compare,True,True,False,cbrun/emf-compare,git
cbrun/fluent-api-generator,True,True,False,cbrun/fluent-api-generator,git
cbrun/org.eclipse.sirius,True,True,False,cbrun/org.eclipse.sirius,git
cdaniel/Tutorials,False,True,False,cdaniel/Tutorials,git
cdietrich/lmrc,True,True,False,cdietrich/lmrc,git
cdietrich/xtext-maven-example,True,True,False,cdietrich/xtext-maven-example,git
ceefour/glproto,True,True,False,ceefour/glproto,git
cesarcatanio/fca,True,True,False,cesarcatanio/fca,git
chelder86/ArcadeTongame,True,True,False,chelder86/ArcadeTongame,git
chenyunzhan/GMF,True,True,False,chenyunzhan/GMF,git
chhochreiner/swag,False,True,False,chhochreiner/swag,git
chrismichaelscott/moka,True,True,False,chrismichaelscott/moka,git
christianharrington/MDD,True,True,False,christianharrington/MDD,git
christiankerl/org.eclipselab.emf.ecore.protobuf,True,True,False,christiankerl/org.eclipselab.emf.ecore.protobuf,git
christophe-w/parallelj.studio,True,True,False,christophe-w/parallelj.studio,git
cirosantilli/key-java-formal-verification-fork,True,True,False,cirosantilli/key-java-formal-verification-fork,git
ckrause/jitcalculator,True,True,False,ckrause/jitcalculator,git
ckulla/modeling-utils,True,True,False,ckulla/modeling-utils,git
clagms/SyVOLTEditor,True,True,True,clagms/SyVOLTEditor,git
clagms/TransformationVerificationMbeddr,True,True,False,clagms/TransformationVerificationMbeddr,git
cloudsmith/geppetto,True,True,False,cloudsmith/geppetto,git
cloudsmith/org.eclipse.emf,True,True,False,cloudsmith/org.eclipse.emf,git
cnotot/UMLGeneratorsBkp,True,True,False,cnotot/UMLGeneratorsBkp,git
col-panic/redsalt,True,True,False,col-panic/redsalt,git
conicole/TP_4INFO,True,True,False,conicole/TP_4INFO,git
cooked/NDT,True,True,False,cooked/NDT,git
copton/XTextExamples,True,True,False,copton/XTextExamples,git
coriane/reassistant,True,True,False,coriane/reassistant,git
cosminstefanxp/epns,True,True,False,cosminstefanxp/epns,git
cpnatwork/era_origodump_dev,True,True,False,cpnatwork/era_origodump_dev,git
creckord/org.eclipse.uml2,True,True,False,creckord/org.eclipse.uml2,git
crubier/lil,True,True,False,crubier/lil,git
crytherion/FormModelerProject,False,True,False,crytherion/FormModelerProject,git
csurgotamas/EMF-IncQuery-Example,True,True,False,csurgotamas/EMF-IncQuery-Example,git
